episode,return_env,mean_loss,epsilon
1,11.0,0.0,0.9990504748417063
2,31.0,0.0,0.9961129738486845
3,23.0,0.26532766222953796,0.9939394145601915
4,41.0,0.06150580165771449,0.9900771859395043
5,44.0,0.013322663662785833,0.9859499329366096
6,20.0,0.009854955552145838,0.9840799037232927
7,25.0,0.009187992550432683,0.9817476205327034
8,48.0,0.008400571382177683,0.9772859485333517
9,48.0,0.008299140608869493,0.9728456412432746
10,46.0,0.003569703002500793,0.9686103000466234
11,13.0,0.11464584504182522,0.9674168825460113
12,22.0,0.02844852027059956,0.9654007839260517
13,22.0,0.011064932258291678,0.9633891158476733
14,25.0,0.0052128777839243415,0.9611084950219095
15,24.0,0.0041307550175891565,0.9589244565283876
16,50.0,0.0035906684049405156,0.9543911768891723
17,21.0,0.003401256255095913,0.952493948205055
18,14.0,0.0034256332354354008,0.9512313407090409
19,33.0,0.002776974332377766,0.9482621790958765
20,39.0,0.0026689242446221984,0.9447657790092574
21,45.0,0.04619426369253132,0.9407483789332471
22,35.0,0.006444113974326423,0.9376362090812279
23,22.0,0.005245453656905077,0.9356855559264827
24,14.0,0.004556775924616626,0.9344464637151187
25,20.0,0.005227287218440324,0.9326793385019433
26,21.0,0.00502480348638658,0.93082765683733
27,38.0,0.00433762236130669,0.9274868632692149
28,17.0,0.0037769252735683147,0.9259964028519645
29,66.0,0.0041684072295373135,0.9202338638897182
30,13.0,0.0033487291881241477,0.9191032948957294
31,18.0,0.09566388781078988,0.9175403160678663
32,32.0,0.015886997483903542,0.9147686241287286
33,28.0,0.009788222411381347,0.9123506587124881
34,21.0,0.007210433571821167,0.9105416224820546
35,13.0,0.006357097443049917,0.9094236452154997
36,19.0,0.007381100685482747,0.9077922905672718
37,15.0,0.006986783755322298,0.9065065666654206
38,17.0,0.005988848929786507,0.90505174245304
39,53.0,0.0066245828364220145,0.900531956231587
40,67.0,0.0061853843786295005,0.8948524397511536
41,33.0,0.06703628783086032,0.8920690218654375
42,16.0,0.013546691596275195,0.8907227887041781
43,19.0,0.01120238082091275,0.8891269319496439
44,23.0,0.009717292324437396,0.887199157796263
45,29.0,0.007679653474418768,0.8847747972605032
46,12.0,0.009960271573315064,0.8837736683013016
47,10.0,0.008804716845043003,0.8829403113809069
48,29.0,0.0090100413172281,0.8805282836086014
49,24.0,0.008199431477502609,0.8785374057370079
50,17.0,0.007613903459380655,0.8771300887056604
51,70.0,0.038780447195417116,0.8713603955702558
52,33.0,0.011185510535583351,0.8686543736567458
53,55.0,0.010106130338019945,0.8641641340796106
54,71.0,0.011857759141901009,0.8584040412543448
55,15.0,0.01570994177212318,0.8571923441924527
56,100.0,0.011657037201803177,0.8491606461713391
57,45.0,0.011803710657275385,0.8455725026415004
58,20.0,0.009771675919182599,0.8439829477209895
59,8.0,0.009609544402337633,0.8433480153696163
60,26.0,0.012587835421212591,0.8412879897234763
61,19.0,0.09199762030651695,0.8397859699136786
62,43.0,0.01882593941246701,0.836397181359997
63,33.0,0.01487051486743219,0.8338063478879189
64,24.0,0.011184823495568708,0.8319274682104629
65,28.0,0.013665630731598608,0.8297411335963385
66,9.0,0.014949737944536738,0.8290396822765437
67,49.0,0.01766273419714856,0.8252317249479286
68,26.0,0.014268779607776266,0.8232187404768575
69,38.0,0.013203226961195469,0.8202860848377214
70,45.0,0.013448722639845477,0.8168275849169899
71,65.0,0.042987495101988314,0.811859369806384
72,31.0,0.016463776742438634,0.8095012627144271
73,15.0,0.016966723014290135,0.8083628648322168
74,38.0,0.015953519773718557,0.8054865543968409
75,16.0,0.019995932147139683,0.8042787424170563
76,50.0,0.014164033043198288,0.8005167614947338
77,18.0,0.017278000945225358,0.7991670464320229
78,34.0,0.015357256647856796,0.7966242037563073
79,29.0,0.01910594879681694,0.7944621300874869
80,52.0,0.01522759438599818,0.7906009747154654
81,38.0,0.06591511744466659,0.7877920313839708
82,123.0,0.023940452249584403,0.778772771555922
83,21.0,0.024932853278837035,0.7772439545553453
84,17.0,0.02265432833776097,0.776008690104877
85,19.0,0.017328727843337936,0.7746305832098086
86,16.0,0.015074194496264681,0.7734721013093361
